代码,名称,最新价,涨跌幅,市盈率-动态,市净率,总市值
300263,隆华科技,8.57,5.15,39.74,2.24,8870004008.0
300086,康芝药业,6.94,5.15,-29.2,2.91,3158563412.0
001301,尚太科技,69.28,5.14,18.85,2.77,18068386808.0
300041,回天新材,11.68,5.13,22.92,2.37,6534190195.0
688049,炬芯科技,61.83,5.12,59.26,5.65,10830615800.0
000550,江铃汽车,21.6,5.11,12.72,1.66,18645422400.0
688336,三生国健,55.98,5.11,90.71,6.06,34527668692.0
688365,光云科技,15.43,5.11,-271.21,6.94,6570474874.0
601777,千里科技,13.16,5.11,954.38,5.64,59497676934.0
600584,长电科技,41.2,5.1,78.3,2.64,73723880284.0
603360,百傲化学,26.39,5.1,101.52,11.77,18637242229.0
300102,乾照光电,12.8,5.09,85.08,2.8,11780273446.0
300992,泰福泵业,26.54,5.07,54.22,2.92,2530258630.0
688757,胜科纳米,33.13,5.07,200.21,15.19,13361709531.0
601519,大智慧,15.97,5.07,-4577.19,22.95,31766885200.0
300724,捷佳伟创,96.09,5.06,9.13,2.67,33411798479.0
301285,鸿日达,51.08,5.06,-739.09,10.15,10556703600.0
688549,中巨芯-U,10.2,5.05,925.83,4.97,15068215200.0
003026,中晶科技,38.51,5.05,96.98,7.68,4991627690.0
603398,*ST沐邦,8.13,5.04,-8.3,4.49,3525505590.0
000691,*ST亚太,10.21,5.04,-69.57,-37.24,3300586700.0
688981,中芯国际,134.98,5.03,234.64,7.15,1079738761626.0
600360,*ST华微,8.37,5.02,37.56,2.35,8037671694.0
301265,华新环保,11.5,5.02,45.52,1.65,3484191593.0
002901,大博医疗,55.06,5.02,46.66,7.25,22795914000.0
600892,*ST大晟,3.77,5.01,-31.27,49.42,2109179989.0
688063,派能科技,60.78,5.01,535.98,1.64,14912935154.0
600265,ST景谷,25.43,5.0,-13.31,33.94,3300814000.0
300909,汇创达,34.44,5.0,92.48,2.99,5957189397.0
603032,德新科技,22.67,5.0,118.42,4.73,5293777796.0
603389,*ST亚振,31.73,5.0,-125.96,36.79,8337120960.0
002669,康达新材,14.54,4.98,43.1,1.65,4411436000.0
002762,*ST金比,8.66,4.97,-85.53,3.68,3065856500.0
603007,*ST花王,5.7,4.97,-68.93,10.43,4998307776.0
300341,麦克奥迪,18.79,4.97,52.97,5.2,9722140213.0
600756,浪潮软件,15.46,4.96,-16.94,2.3,5010566721.0
300164,通源石油,5.5,4.96,41.89,2.26,3236522460.0
600588,用友网络,14.83,4.95,-26.83,6.71,50674071575.0
002643,万润股份,13.77,4.95,29.13,1.78,12709148528.0
601360,三六零,11.45,4.95,-142.21,2.78,80144937715.0
603901,永创智能,11.03,4.95,33.01,2.25,5379040194.0
300046,台基股份,43.45,4.95,129.34,9.12,10277288070.0
688327,云从科技-UW,17.62,4.94,-39.81,18.35,18299224922.0
688216,气派科技,27.38,4.94,-24.94,4.9,2926369061.0
300918,南山智尚,24.21,4.94,81.53,3.26,12253514478.0
688112,鼎阳科技,37.87,4.93,39.21,3.94,6028904720.0
002808,*ST恒久,4.7,4.91,-30.1,4.76,1263360000.0
300716,ST泉为,13.24,4.91,-28.79,101.07,2118664800.0
001373,翔腾新材,30.97,4.91,-91.0,2.43,2127232921.0
605338,巴比食品,23.57,4.9,21.45,2.57,5646586223.0
300326,ST凯利,5.58,4.89,45.66,1.45,4000930766.0
688170,德龙激光,43.87,4.88,-146.42,3.73,4534403200.0
688252,天德钰,28.79,4.88,38.64,5.1,11775724407.0
688488,艾迪药业,15.26,4.88,349.32,6.49,6421145650.0
688709,成都华微,48.55,4.88,432.79,10.88,30918923112.0
301505,苏州规划,24.34,4.87,276.46,2.91,2784495781.0
000421,南京公用,6.46,4.87,59.31,1.36,3710725642.0
688130,晶华微,25.0,4.87,-65.81,2.41,3022277350.0
300753,爱朋医疗,29.56,4.86,-96.13,5.54,3725978880.0
600736,苏州高新,5.83,4.86,19.12,0.92,6712037648.0
300302,同有科技,18.57,4.86,-242.1,8.51,8899928729.0
600586,金晶科技,5.18,4.86,-38.13,1.29,7341809286.0
002290,禾盛新材,39.53,4.83,50.55,10.88,9807880405.0
600703,三安光电,15.64,4.83,221.06,2.2,78028252890.0
833509,同惠电子,33.67,4.83,92.08,16.35,5397492784.0
300845,捷安高科,11.08,4.82,1314.05,2.86,2271983994.0
300490,华自科技,10.02,4.81,-14.4,1.78,3994680153.0
603031,安孚科技,44.87,4.81,53.09,3.96,11312797105.0
688789,宏华数科,82.8,4.81,29.66,4.48,14858570290.0
300866,安克创新,129.0,4.81,29.64,7.37,69164331045.0
688530,欧莱新材,19.2,4.8,-220.79,3.66,3072860621.0
603194,中力股份,46.1,4.8,20.65,3.67,18486100000.0
300830,金现代,12.0,4.8,-116.84,3.82,5241211188.0
605117,德业股份,74.19,4.8,22.04,7.15,67101006097.0
301519,舜禹股份,13.97,4.8,-108.87,1.6,2293315200.0
300088,长信科技,7.44,4.79,42.72,2.14,18583137828.0
600635,大众公用,6.35,4.79,28.15,2.11,18747960186.0
688728,格科微,17.31,4.78,756.27,5.79,45016155206.0
000680,山推股份,10.31,4.78,13.61,2.72,15466470330.0
688320,禾川科技,50.1,4.77,-99.13,5.85,7565784767.0
002869,金溢科技,31.25,4.76,-237.43,2.61,5611135656.0
688028,沃尔德,51.33,4.76,88.81,3.97,7748212170.0
301026,浩通科技,29.03,4.76,27.32,2.98,4594693843.0
